2026,Qty,Cost
PAT Testing,2,£550
Fire Extinguisher Check,2,£114
SEMA Rack Inspection,1,£600
First Aid at Work Training,1,£410
Fire Risk Assessment,2,"£1,200"
WorkNest Consultancy,1,"£2,628"
Fire escape Engineer Inspection,1,"£1,000"
Banksman Training,6,£195
Fire Stick Extinguishers,10,£650
Eye Tests,21,£735
Hearing Tests,4,£200
,Total,"£8,282"
,,
2027,Qty,Cost
PAT Testing,2,£550
Fire Extinguisher Check,2,£114
Forklift Truck (FLT) Training,2,£50
Electrical Safety Inspection,1,£400
WorkNest Consultancy,1,"£2,628"
Hearing Tests,4,£200
,Total,"£3,942"
,,
2028,Qty,Cost
PAT Testing,2,£550
Fire Extinguisher Check,2,£114
Forklift Truck (FLT) Training,1,£25
FLT Instructor Training,1,"£1,000"
Emergency First Aid Training,5,£975
First Aid at Work Training,2,£820
Electrical Safety Inspection,1,£400
WorkNest Consultancy,1,"£2,628"
DSE Training,2,£80
Manual Handling,6,£180
Eye Tests,21,£735
Hearing Tests,4,£200
,Total,"£7,707"
,,
2029,Qty,Cost
PAT Testing,2,£550
Fire Extinguisher Check,2,£114
Fire Marshal Training,1,£550
SEMA Rack Inspection,1,£600
First Aid at Work Training,1,£410
Banksman Training,6,£195
Hearing Tests,4,£200
,Total,"£2,619"
,,
2030,Qty,Cost
PAT Testing,2,£550
Fire Extinguisher Check,2,£114
Forklift Truck (FLT) Training,2,£50
Electrical Safety Inspection,1,£400
Eye Tests,21,£735
Hearing Tests,4,£200
,Total,"£2,049"
